Date W/ Weekends,Open,High,Low,Close,Adj Close,Volume
1/6/2011,127.690002,127.830002,127.010002,127.389999,104.057114,122519000
1/7/2011,127.559998,127.769997,126.150002,127.139999,103.852882,156034600
1/8/2011,127.559998,127.769997,126.150002,127.139999,103.852882,156034600
1/9/2011,127.559998,127.769997,126.150002,127.139999,103.852882,156034600
1/10/2011,126.580002,127.160004,126.199997,126.980003,103.722198,122401700
1/11/2011,127.440002,127.739998,126.949997,127.43,104.089745,110287000
1/12/2011,128.210007,128.720001,127.459999,128.580002,105.029152,107929200
1/13/2011,128.630005,128.690002,128.050003,128.369995,104.857582,129048400
1/14/2011,128.190002,129.330002,128.100006,129.300003,105.617264,117677900
1/15/2011,128.190002,129.330002,128.100006,129.300003,105.617264,117677900
1/16/2011,128.190002,129.330002,128.100006,129.300003,105.617264,117677900
1/17/2011,128.190002,129.330002,128.100006,129.300003,105.617264,117677900
1/18/2011,129.179993,129.639999,129.029999,129.520004,105.796959,114401300
1/19/2011,129.410004,129.539993,127.910004,128.25,104.759583,151958400
1/20/2011,127.959999,128.399994,127.129997,128.080002,104.620705,175745700
1/21/2011,128.880005,129.169998,128.229996,128.369995,104.857582,151462900
1/22/2011,128.880005,129.169998,128.229996,128.369995,104.857582,151462900
1/23/2011,128.880005,129.169998,128.229996,128.369995,104.857582,151462900
1/24/2011,128.289993,129.25,128.259995,129.100006,105.453903,113715500
1/25/2011,128.759995,129.279999,128.110001,129.169998,105.51107,167552200
1/26/2011,129.490005,130.050003,129.229996,129.669998,105.919495,141281500
1/27/2011,129.699997,130.210007,129.470001,129.990005,106.180893,123302700
1/28/2011,130.139999,130.350006,127.510002,127.720001,104.326645,295637300
1/29/2011,130.139999,130.350006,127.510002,127.720001,104.326645,295637300
1/30/2011,130.139999,130.350006,127.510002,127.720001,104.326645,295637300
1/31/2011,128.070007,128.779999,127.75,128.679993,105.110809,149249200
2/1/2011,129.460007,130.970001,129.380005,130.740005,106.79348,167194300
2/2/2011,130.399994,130.839996,130.330002,130.490005,106.58931,118323600
2/3/2011,130.259995,130.979996,129.570007,130.779999,106.826195,145886700
2/4/2011,130.830002,131.199997,130.229996,131.149994,107.12841,134634800
2/5/2011,130.830002,131.199997,130.229996,131.149994,107.12841,134634800
2/6/2011,130.830002,131.199997,130.229996,131.149994,107.12841,134634800
2/7/2011,131.440002,132.399994,131.429993,131.970001,107.79821,112439100
2/8/2011,132.089996,132.639999,131.729996,132.570007,108.288353,99072800
2/9/2011,132.210007,132.630005,131.610001,132.270004,108.043282,146436700
2/10/2011,131.600006,132.470001,131.300003,132.320007,108.084145,162708500
2/11/2011,131.800003,133.279999,131.770004,133.110001,108.729439,137710300
2/12/2011,131.800003,133.279999,131.770004,133.110001,108.729439,137710300
2/13/2011,131.800003,133.279999,131.770004,133.110001,108.729439,137710300
2/14/2011,133.029999,133.539993,132.880005,133.429993,108.990807,101690700
2/15/2011,133.020004,133.220001,132.320007,133.009995,108.64772,119575400
2/16/2011,133.460007,134.009995,133.190002,133.850006,109.333878,130183500
2/17/2011,133.460007,134.429993,133.339996,134.25,109.660629,109810500
2/18/2011,134.369995,134.690002,134.059998,134.529999,109.889328,130002400
2/19/2011,134.369995,134.690002,134.059998,134.529999,109.889328,130002400
