Day,bitcoin,,in 8 month segments
1/21/2019,37,,
1/20/2019,32,,
1/19/2019,33,,
1/18/2019,35,,
1/17/2019,38,,
1/16/2019,38,,
1/15/2019,39,,
1/14/2019,43,,
1/13/2019,38,,
1/12/2019,36,,
1/11/2019,40,,
1/10/2019,54,,
1/9/2019,42,,
1/8/2019,43,,
1/7/2019,42,,
1/6/2019,40,,
1/5/2019,39,,
1/4/2019,48,,
1/3/2019,44,,
1/2/2019,45,,
1/1/2019,39,,
12/31/2018,43,,
12/30/2018,43,,
12/29/2018,40,,
12/28/2018,47,,
12/27/2018,47,,
12/26/2018,50,,
12/25/2018,51,,
12/24/2018,52,,
12/23/2018,43,,
12/22/2018,48,,
12/21/2018,54,,
12/20/2018,59,,
12/19/2018,60,,
12/18/2018,53,,
12/17/2018,54,,
12/16/2018,46,,
12/15/2018,50,,
12/14/2018,56,,
12/13/2018,52,,
12/12/2018,49,,
12/11/2018,50,,
12/10/2018,50,,
12/9/2018,49,,
12/8/2018,50,,
12/7/2018,73,,
12/6/2018,58,,
12/5/2018,52,,
12/4/2018,56,,
12/3/2018,56,,
12/2/2018,43,,
12/1/2018,48,,
11/30/2018,55,,
11/29/2018,58,,
11/28/2018,71,,
11/27/2018,70,,
11/26/2018,81,,
11/25/2018,80,,
11/24/2018,55,,
11/23/2018,59,,
11/22/2018,57,,
11/21/2018,78,,
11/20/2018,100,,
11/19/2018,70,,
11/18/2018,40,,
11/17/2018,44,,
11/16/2018,54,,
11/15/2018,67,,
11/14/2018,60,,
11/13/2018,38,,
11/12/2018,38,,
11/11/2018,31,,
11/10/2018,30,,
11/9/2018,39,,
11/8/2018,37,,
11/7/2018,39,,
11/6/2018,40,,
11/5/2018,42,,
11/4/2018,37,,
11/3/2018,31,,
11/2/2018,37,,
11/1/2018,39,,
10/31/2018,38,,
10/30/2018,36,,
10/29/2018,38,,
10/28/2018,30,,
10/27/2018,32,,
10/26/2018,36,,
10/25/2018,38,,
10/24/2018,42,,
10/23/2018,39,,
10/22/2018,37,,
10/21/2018,34,,
10/20/2018,32,,
10/19/2018,36,,
10/18/2018,41,,
10/17/2018,41,,
10/16/2018,40,,
10/15/2018,47,,
10/14/2018,36,,
10/13/2018,33,,
10/12/2018,43,,
10/11/2018,52,,
10/10/2018,41,,
10/9/2018,38,,
10/8/2018,35,,
10/7/2018,30,,
10/6/2018,34,,
10/5/2018,38,,
10/4/2018,39,,
10/3/2018,41,,
10/2/2018,37,,
10/1/2018,40,,
9/30/2018,37,,
9/29/2018,34,,
9/28/2018,42,,
9/27/2018,44,,
9/26/2018,41,,
9/25/2018,42,,
9/24/2018,40,,
9/23/2018,40,,
9/22/2018,43,,
9/21/2018,46,,
9/20/2018,46,,
9/19/2018,43,,
9/18/2018,44,,
9/17/2018,46,,
9/16/2018,40,,
9/15/2018,39,,
9/14/2018,46,,
9/13/2018,52,,
9/12/2018,53,,
9/11/2018,47,,
9/10/2018,49,,
9/9/2018,44,,
9/8/2018,44,,
9/7/2018,53,,
9/6/2018,64,,
9/5/2018,60,,
9/4/2018,49,,
9/3/2018,48,,
9/2/2018,41,,
9/1/2018,43,,
8/31/2018,42,,
8/30/2018,51,,
8/29/2018,52,,
8/28/2018,51,,
8/27/2018,46,,
8/26/2018,40,,
8/25/2018,43,,
8/24/2018,44,,
8/23/2018,46,,
8/22/2018,53,,
8/21/2018,49,,
8/20/2018,46,,
8/19/2018,41,,
8/18/2018,40,,
8/17/2018,52,,
8/16/2018,54,,end fourth segment
8/15/2018,7,,
8/14/2018,8,,
8/13/2018,6,,
8/12/2018,6,,
8/11/2018,7,,
8/10/2018,6,,
8/9/2018,7,,
8/8/2018,8,,
8/7/2018,6,,
8/6/2018,6,,
8/5/2018,6,,
8/4/2018,7,,
8/3/2018,6,,
8/2/2018,6,,
8/1/2018,7,,
7/31/2018,7,,
7/30/2018,6,,
7/29/2018,6,,
7/28/2018,6,,
7/27/2018,7,,
7/26/2018,7,,
7/25/2018,8,,
7/24/2018,10,,
7/23/2018,7,,
7/22/2018,6,,
7/21/2018,6,,
7/20/2018,6,,
7/19/2018,7,,
7/18/2018,8,,
7/17/2018,8,,
7/16/2018,6,,
7/15/2018,5,,
7/14/2018,5,,
7/13/2018,6,,
7/12/2018,6,,
7/11/2018,6,,
7/10/2018,6,,
7/9/2018,6,,
7/8/2018,5,,
7/7/2018,5,,
7/6/2018,5,,
7/5/2018,6,,
7/4/2018,6,,
7/3/2018,6,,
7/2/2018,7,,
7/1/2018,5,,
6/30/2018,7,,
6/29/2018,8,,
6/28/2018,6,,
6/27/2018,6,,
6/26/2018,6,,
6/25/2018,6,,
6/24/2018,7,,
6/23/2018,6,,
6/22/2018,7,,
6/21/2018,6,,
6/20/2018,7,,
6/19/2018,6,,
6/18/2018,7,,
6/17/2018,6,,
6/16/2018,6,,
6/15/2018,6,,
6/14/2018,7,,
6/13/2018,8,,
6/12/2018,8,,
6/11/2018,10,,
6/10/2018,7,,
6/9/2018,5,,
6/8/2018,6,,
6/7/2018,6,,
6/6/2018,6,,
6/5/2018,6,,
6/4/2018,6,,
6/3/2018,6,,
6/2/2018,5,,
6/1/2018,6,,
5/31/2018,6,,
5/30/2018,7,,
5/29/2018,7,,
5/28/2018,7,,
5/27/2018,6,,
5/26/2018,6,,
5/25/2018,7,,
5/24/2018,8,,
5/23/2018,8,,
5/22/2018,6,,
5/21/2018,6,,
5/20/2018,6,,
5/19/2018,6,,
5/18/2018,7,,
5/17/2018,7,,
5/16/2018,7,,
5/15/2018,7,,
5/14/2018,8,,
5/13/2018,6,,
5/12/2018,7,,
5/11/2018,9,,
5/10/2018,7,,
5/9/2018,7,,
5/8/2018,7,,
